date,region,abbreviation,hpi
1979-07-01,West,AZ,94.6
1979-10-01,West,AZ,98.91
1980-01-01,West,AZ,100.0
1980-04-01,West,AZ,98.62
1980-07-01,West,AZ,106.68
1980-10-01,West,AZ,107.33
1981-01-01,West,AZ,108.36
1981-04-01,West,AZ,111.35
1981-07-01,West,AZ,116.98
1981-10-01,West,AZ,110.12
1982-01-01,West,AZ,106.35
1982-04-01,West,AZ,111.84
1982-07-01,West,AZ,108.22
1982-10-01,West,AZ,109.61
1983-01-01,West,AZ,119.29
1983-04-01,West,AZ,119.39
1983-07-01,West,AZ,115.37
1983-10-01,West,AZ,113.39
1984-01-01,West,AZ,117.38
1984-04-01,West,AZ,122.01
1984-07-01,West,AZ,122.79
1984-10-01,West,AZ,122.13
1985-01-01,West,AZ,125.12
1985-04-01,West,AZ,125.36
1985-07-01,West,AZ,127.23
1985-10-01,West,AZ,128.74
1986-01-01,West,AZ,131.2
1986-04-01,West,AZ,135.18
1986-07-01,West,AZ,135.22
1986-10-01,West,AZ,133.14
1987-01-01,West,AZ,137.61
1987-04-01,West,AZ,136.49
1987-07-01,West,AZ,135.66
1987-10-01,West,AZ,133.34
1988-01-01,West,AZ,134.6
1988-04-01,West,AZ,135.98
1988-07-01,West,AZ,133.89
1988-10-01,West,AZ,134.41
1989-01-01,West,AZ,132.8
1989-04-01,West,AZ,132.61
1989-07-01,West,AZ,134.65
1989-10-01,West,AZ,133.65
1990-01-01,West,AZ,133.54
1990-04-01,West,AZ,132.77
1990-07-01,West,AZ,133.78
1990-10-01,West,AZ,132.55
1991-01-01,West,AZ,134.67
1991-04-01,West,AZ,135.82
1991-07-01,West,AZ,135.14
1991-10-01,West,AZ,139.04
1992-01-01,West,AZ,139.84
1992-04-01,West,AZ,139.48
1992-07-01,West,AZ,140.39
1992-10-01,West,AZ,141.17
1993-01-01,West,AZ,141.33
1993-04-01,West,AZ,142.92
1993-07-01,West,AZ,144.04
1993-10-01,West,AZ,145.93
1994-01-01,West,AZ,147.88
1994-04-01,West,AZ,149.81
1994-07-01,West,AZ,151.47
1994-10-01,West,AZ,153.42
1995-01-01,West,AZ,155.4
1995-04-01,West,AZ,158.19
1995-07-01,West,AZ,161.31
1995-10-01,West,AZ,163.18
1996-01-01,West,AZ,165.84
1996-04-01,West,AZ,166.15
1996-07-01,West,AZ,167.78
1996-10-01,West,AZ,169.37
1997-01-01,West,AZ,170.93
1997-04-01,West,AZ,172.07
1997-07-01,West,AZ,175.13
1997-10-01,West,AZ,177.88
1998-01-01,West,AZ,180.2
1998-04-01,West,AZ,181.74
1998-07-01,West,AZ,184.19
1998-10-01,West,AZ,186.52
1999-01-01,West,AZ,188.48
1999-04-01,West,AZ,190.9
1999-07-01,West,AZ,193.66
1999-10-01,West,AZ,195.48
2000-01-01,West,AZ,199.93
2000-04-01,West,AZ,202.23
2000-07-01,West,AZ,204.9
2000-10-01,West,AZ,208.02
2001-01-01,West,AZ,212.73
2001-04-01,West,AZ,216.0
2001-07-01,West,AZ,219.15
2001-10-01,West,AZ,221.33
2002-01-01,West,AZ,224.31
2002-04-01,West,AZ,227.29
2002-07-01,West,AZ,231.18
2002-10-01,West,AZ,233.9
2003-01-01,West,AZ,236.65
2003-04-01,West,AZ,239.13
2003-07-01,West,AZ,242.82
2003-10-01,West,AZ,251.04
2004-01-01,West,AZ,255.38
2004-04-01,West,AZ,264.45
2004-07-01,West,AZ,280.06
2004-10-01,West,AZ,291.47
2005-01-01,West,AZ,309.05
2005-04-01,West,AZ,341.0
2005-07-01,West,AZ,369.84
2005-10-01,West,AZ,395.58
2006-01-01,West,AZ,410.15
2006-04-01,West,AZ,419.12
2006-07-01,West,AZ,422.69
2006-10-01,West,AZ,426.21
2007-01-01,West,AZ,424.41
2007-04-01,West,AZ,420.88
2007-07-01,West,AZ,411.38
2007-10-01,West,AZ,404.39
2008-01-01,West,AZ,391.01
2008-04-01,West,AZ,368.27
2008-07-01,West,AZ,341.59
2008-10-01,West,AZ,329.24
2009-01-01,West,AZ,328.17
2009-04-01,West,AZ,304.5
2009-07-01,West,AZ,288.91
2009-10-01,West,AZ,280.24
2010-01-01,West,AZ,272.49
2010-04-01,West,AZ,262.96
2010-07-01,West,AZ,262.45
2010-10-01,West,AZ,255.6
2011-01-01,West,AZ,241.7
2011-04-01,West,AZ,229.85
2011-07-01,West,AZ,231.62
2011-10-01,West,AZ,236.8
2012-01-01,West,AZ,235.44
2012-04-01,West,AZ,238.65
2012-07-01,West,AZ,247.95
2012-10-01,West,AZ,255.59
2013-01-01,West,AZ,262.07
2013-04-01,West,AZ,273.98
2013-07-01,West,AZ,282.98
2013-10-01,West,AZ,290.81
2014-01-01,West,AZ,296.44
2014-04-01,West,AZ,301.57
2014-07-01,West,AZ,304.57
2014-10-01,West,AZ,309.72
2015-01-01,West,AZ,311.75
2015-04-01,West,AZ,318.6
2015-07-01,West,AZ,326.07
2015-10-01,West,AZ,330.43
2016-01-01,West,AZ,334.45
2016-04-01,West,AZ,341.27
2016-07-01,West,AZ,346.82
2016-10-01,West,AZ,352.56
2017-01-01,West,AZ,358.93
2017-04-01,West,AZ,368.66
2017-07-01,West,AZ,376.61
2017-10-01,West,AZ,380.82
2018-01-01,West,AZ,389.94
2018-04-01,West,AZ,398.3
2018-07-01,West,AZ,407.97
2018-10-01,West,AZ,412.29
2019-01-01,West,AZ,417.85
2019-04-01,West,AZ,426.57
2019-07-01,West,AZ,432.43
2019-10-01,West,AZ,439.79
2020-01-01,West,AZ,449.11
2020-04-01,West,AZ,455.75
1975-01-01,South,AR,66.69
1975-04-01,South,AR,60.74
1975-07-01,South,AR,65.52
1975-10-01,South,AR,62.9
1976-01-01,South,AR,66.71
1976-04-01,South,AR,68.89
1976-07-01,South,AR,71.63
1976-10-01,South,AR,72.38
1977-01-01,South,AR,73.61
1977-04-01,South,AR,75.45
1977-07-01,South,AR,78.81
1977-10-01,South,AR,81.52
1978-01-01,South,AR,81.64
1978-04-01,South,AR,83.61
1978-07-01,South,AR,86.4
1978-10-01,South,AR,86.18
1979-01-01,South,AR,92.58
1979-04-01,South,AR,95.83
1979-07-01,South,AR,100.49
1979-10-01,South,AR,101.99
1980-01-01,South,AR,100.0
1980-04-01,South,AR,101.67
1980-07-01,South,AR,107.0
