lat,lon
34.5150803,-87.7178045
46.9997704,-122.9081462
47.0620668,-122.765637
37.7455949,-122.4202183
41.2372318,-85.8173988
42.91226,-85.6521489
42.1306801,-72.6252703
46.2864913,-122.9008626
41.8844496,-87.6240723
36.1841509,-115.3090899
33.5245886,-90.2041544
43.5144356,-96.7916689
26.8956333,-82.0089952
42.3703682,-71.0191136
35.9186205,-80.0578882
38.9182553,-90.1621889
29.4431628,-98.3614667
27.961014,-82.758945
30.4830793,-90.4564212
34.5472815,-82.6317317
44.3107495,-96.7544261
41.031953,-81.9076429
38.0082878,-84.2142509
39.6969512,-104.8468702
39.7264194,-104.8477169
43.7250236,-98.0264999
40.7982355,-77.8612614
35.0875684,-106.5681825
38.678118,-121.2653528
38.6772078,-121.7966527
42.5684899,-114.4598202
36.1427203,-115.0660939
32.6187996,-83.6472727
42.4965554,-90.720196
35.127055,-80.7020262
35.1400603,-80.7368762
36.2191328,-115.2809651
33.4519096,-86.9784238
40.6920362,-73.9883621
37.7331224,-120.9457844
35.1311829,-106.5171512
40.5133372,-74.4872975
28.236166,-81.651391
30.1732139,-97.8227706
38.8923144,-79.8457905
32.469475,-84.9621462
30.7519935,-85.5514739
42.7901822,-83.7419078
42.0349661,-93.5739162
28.1466063,-81.4474502
41.681246,-86.8932088
40.9603951,-74.2369268
37.835725,-94.3271805
37.2909037,-80.0717177
42.3953861,-86.2695168
39.3090161,-80.2750723
27.892042,-82.729638
34.6054899,-98.4216882
34.6238477,-98.4325924
32.7519848,-117.2037307
46.3084784,-119.9778424
26.246794,-98.4716642
42.8508216,-106.270018
33.8483058,-79.0669559
29.5106517,-98.3903594
35.2782161,-81.5390747
33.6820997,-78.8945431
37.241093,-93.301268
36.1585771,-115.0779787
40.4580995,-90.6434648
38.7714903,-93.736187
36.0996068,-115.1007429
40.7037982,-73.7993592
41.5630926,-72.9089875
39.740577,-104.9030533
39.6526585,-104.9288832
40.0713812,-88.2493218
30.235431,-97.723558
41.694779,-85.9650893
41.7228497,-85.9734959
30.305238,-89.8262106
39.7622527,-104.9728937
35.7500913,-83.9980975
34.086387,-80.9356302
40.700934,-73.9425251
39.6961962,-104.8241488
36.1281693,-115.1375329
36.0321653,-79.9599825
36.0487293,-79.8349933
36.1023195,-79.8230219
34.0713001,-83.9140033
39.6273583,-104.9884121
39.995177,-81.5757612
39.9701445,-82.0104399
36.7675911,-90.4164794
43.4066559,-85.8024404
38.2720836,-121.9875834
34.9891972,-85.210516
42.6536657,-84.5309874
29.5613531,-95.1420692
43.590101,-116.2413614
27.9957974,-82.4304739
44.2372073,-85.4536962
39.7396729,-104.8104248
33.640635,-84.4445879
40.2201738,-85.4324427
36.9748754,-120.0724489
37.5161761,-120.8486033
34.191784,-79.8094764
35.2153312,-111.5969653
48.9946044,-122.7340535
36.8979553,-76.2041764
35.3781117,-78.5410584
33.9146757,-81.1326305
39.8500325,-85.1452035
33.7780549,-78.7921823
40.28559,-79.5476409
43.1390738,-77.6707759
34.8297757,-92.3933959
39.7815193,-86.1243908
39.7799498,-104.8464517
40.8510289,-115.7444188
36.1410887,-81.1765769
34.6221032,-79.0484565
33.4069924,-111.9083215
38.6864051,-90.0089524
31.8122399,-106.4333198
35.224163,-80.9403811
32.785784,-79.9543777
36.7031977,-77.5436576
43.3092354,-73.6429266
39.8429058,-77.2022707
33.5821913,-112.2023108
38.032094,-78.4556981
37.9737757,-78.2176304
46.1472181,-122.9624308
38.4815034,-77.975157
35.5618602,-77.0608608
37.0064332,-79.8772559
32.3289602,-90.325247
37.27089,-77.412314
36.7201181,-78.1188589
36.8598034,-76.2092556
36.0806109,-115.1465763
40.2063843,-79.5663026
35.3008581,-78.6009392
37.4924567,-120.8680357
36.8567699,-84.8461726
43.10137,-89.347488
35.6605583,-80.4618421
38.6614645,-78.491595
28.3605178,-80.7973388
26.0325045,-80.1429033
33.4519016,-112.2039094
32.5053519,-84.9736613
35.8698204,-83.7561858
32.4692949,-85.0297833
30.651935,-87.913041
40.4491454,-84.9787496
37.6728771,-85.9104225
35.3171155,-81.1894036
32.6480719,-96.8577378
36.1602605,-95.8861875
35.2172816,-97.4903289
30.002065,-95.2709287
29.0485919,-95.460881
32.8925471,-84.3265335
27.96503,-82.521016
41.6055923,-72.7072088
43.5142159,-96.7570367
39.6050436,-86.1082555
25.7564277,-80.3723813
39.7109978,-105.0528009
34.8668994,-82.4647288
44.9627549,-92.9625553
29.705273,-95.473025
36.1013163,-115.0524433
32.5551906,-83.6673661
35.5597045,-82.6356113
39.7397399,-105.0004572
41.0365804,-78.3981882
47.4482234,-122.3018734
42.2258856,-122.7412974
42.6418568,-83.1700088
40.6297083,-77.5683765
39.1028345,-84.4880539
41.7664428,-72.6733894
36.5585274,-82.2117469
35.0938133,-94.6312668
44.5567125,-69.6296976
41.5649652,-87.5590444
35.8206092,-80.2384465
40.7494417,-73.8841164
39.542749,-82.425101
44.2746348,-83.5079384
40.7049052,-74.0125313
40.8042187,-74.0192962
37.9634257,-121.2731886
41.3662095,-85.0757544
41.3799606,-82.2229649
40.6252481,-103.2381307
40.261121,-103.772143
40.3924447,-74.1015719
40.9400642,-124.1013753
41.5140319,-72.1071032
41.5440455,-96.1259993
28.0322022,-82.425465
32.3574453,-111.0901832
41.451832,-96.4978818
40.682147,-99.0862239
40.538572,-122.3544247
40.4484546,-75.96265
41.1217397,-100.7645203
37.9374941,-121.2961311
36.0861247,-115.1386097
33.7784351,-84.6072095
41.483409,-87.446108
41.703966,-88.12034
43.0753924,-87.8814599
35.1249867,-77.0856871
39.2540976,-81.5548662
33.4659948,-112.0133758
38.6591935,-121.3482139
39.1779053,-76.8436203
45.7861568,-108.5084487
39.6014732,-110.823731
35.369484,-80.7233212
33.2337402,-111.6865354
42.7202086,-87.8651432
40.7471949,-74.1481531
40.8260698,-73.8624223
37.4757285,-105.8948401
37.7452888,-122.1956059
41.3563747,-74.2840312
43.6475559,-70.312129
38.6768574,-121.7362311
42.9410326,-123.2867616
39.8334768,-89.6040601
39.7878542,-89.609734
38.8126567,-94.5011409
41.2661493,-96.235163
41.2901465,-96.0806286
33.2618953,-86.3497429
33.3944962,-84.7616656
36.5314731,-82.5282947
47.3217191,-122.5879562
44.628016,-70.1573985
34.2013404,-118.595258
33.5520242,-80.8283257
39.7696476,-89.7074065
41.6229975,-87.5907346
46.6057876,-122.9040872
33.4070728,-111.9572097
30.6409638,-81.4581801
40.7255853,-111.9394937
42.6743412,-85.6538384
30.449245,-91.2437192
40.8574841,-96.6390409
40.8277781,-96.6531925
40.7841547,-96.6541849
41.2441749,-81.3567601
