needle_length,n_throws,mean,min,pctile_25,median,pctile_75,max
0.7,10000,3.1420033591190815,3.02571860816944,3.1201248049921997,3.140421713772992,3.165272439520687,3.2490136922719888
0.8,10000,3.140753448455557,3.0516879649055886,3.121342177136169,3.1403336604514234,3.1595576619273307,3.231670369622299
0.9,10000,3.1420202009888905,3.060183611016661,3.123915307185005,3.141361256544503,3.1584488506755575,3.2327586206896557
1.0,10000,3.1415362158145337,3.0623181748583677,3.124511795032026,3.142183817753339,3.1566902250603905,3.2195750160978753
0.1,100000,3.141573981209984,3.015226895823911,3.1152647975077885,3.1392246115209543,3.168065895770632,3.2738582419381244
0.2,100000,3.1428070481988466,3.058103975535168,3.1251831197749826,3.143665513989312,3.1603689767768413,3.2351989647363313
0.3,100000,3.1416570178222356,3.0726686126901215,3.1285848367921574,3.1411967959792677,3.154905878641287,3.216123499142367
0.4,100000,3.1416446916126137,3.0895188074457405,3.1301047615921505,3.1419370041630668,3.1534550041389093,3.1913196106590074
0.5,100000,3.1414780369018214,3.0811893390848866,3.132047105988474,3.141443494060211,3.1510205373629754,3.1906068534235215
0.6,100000,3.142048028166235,3.0990935151468193,3.1333228889237037,3.1423072396289724,3.1507847427321725,3.186235462800701
0.7,100000,3.142136678726536,3.1083481349911186,3.1344453151236986,3.1417607324790735,3.149145795398392,3.184858273806815
0.8,100000,3.141115742008166,3.1084257766207526,3.134366368248869,3.1411659618430217,3.147762875316356,3.1718341130758865
0.9,100000,3.141100827797112,3.1127328064744844,3.1351647922777186,3.141196795979268,3.147348359007536,3.1673969276249805
1.0,100000,3.1414664590940564,3.120465573463561,3.1363693388533433,3.141468165340748,3.1465340926968945,3.1678149996040235
0.1,1000000,3.141609361390099,3.1039995033600793,3.133421069123269,3.1418876460977754,3.149655900092915,3.1879622545269064
0.2,1000000,3.1416553959739932,3.11519201264768,3.1359759157049676,3.141295470445666,3.147351110621523,3.1683670236360184
0.3,1000000,3.141524169694463,3.1219430973838116,3.137082670035378,3.1416737791531624,3.1459360406446297,3.158842389558973
0.4,1000000,3.1418024495344725,3.12559825904177,3.138270224716754,3.1418444591717813,3.1453773765165147,3.160606204269979
0.5,1000000,3.141412988217694,3.1287936623155574,3.138200053977041,3.1413744141336717,3.144231396571227,3.156246843753156
0.6,1000000,3.1415336053445326,3.130584506215514,3.139011106867633,3.141587417947774,3.1441473662032418,3.1542673294132797
0.7,1000000,3.1418130480649586,3.1309684085287577,3.1393513203214694,3.14175368202311,3.14419856064271,3.1522089103939583
0.8,1000000,3.141514679740982,3.1298782086142074,3.139457138808949,3.1413078049840135,3.1436361751990844,3.1506668583322344
0.9,1000000,3.1415698470815814,3.131938112902889,3.1397215328661723,3.141512027193924,3.1435227713296756,3.1504772973105424
1.0,1000000,3.141678501214752,3.1338875091078604,3.1399047352903313,3.1416260742475175,3.1433801788676465,3.149105417878416
